issue_type,severity,is_blocking
MISSING_PHONE,LOW,false
MISSING_REGION,LOW,false
INVALID_EMAIL,MEDIUM,false
INVALID_STATUS,MEDIUM,false
FUTURE_SIGNUP_DATE,HIGH,true
DUPLICATE_EMAIL,HIGH,true
DUPLICATE_PHONE,HIGH,true
NEGATIVE_PRICE,HIGH,true
MISSING_CATEGORY,MEDIUM,false
DUPLICATE_PRODUCT_NAME,MEDIUM,false
MISSING_CUSTOMER,HIGH,true
INVALID_CUSTOMER,HIGH,true
FUTURE_ORDER_DATE,HIGH,true
INVALID_ORDER_STATUS,MEDIUM,false
DUPLICATE_ORDER,HIGH,true
ZERO_QUANTITY,MEDIUM,false
NEGATIVE_QUANTITY,HIGH,true
MISSING_PRODUCT,HIGH,true
NEGATIVE_DISCOUNT,MEDIUM,false
